Gene	Category	CDS_Length	A%	T%	G%	C%	GC%	AT%	GC1%	GC2%	GC3%	GC12%	GC3s%	GC_skew	AT_skew	CpG_OE	A3/(A3+T3)	G3/(G3+C3)	ENC	ENC_expected	CpG_Island
KRAS	Oncogene	567	20.811287477954142	28.04232804232804	24.514991181657848	26.63139329805996	51.14638447971781	48.85361552028219	47.61904761904761	49.735449735449734	56.08465608465608	48.67724867724867	55.68181818181818	-0.041379310344827586	-0.148014440433213	1.1907226517945544	0.4457831325301205	0.5283018867924528	57.80610593883452	59.817399517871216	True
BRAF	Oncogene	2301	22.946544980443285	21.07779226423294	26.597131681877446	29.37853107344633	55.975662755323775	44.024337244676225	53.71577574967405	58.40938722294654	55.80182529335072	56.06258148631029	55.182072829131656	-0.049689440993788817	0.04244817374136229	1.040516304347826	0.5191740412979351	0.441588785046729	59.140500164944726	59.935431714333646	True
MYC	Oncogene	1320	19.924242424242426	18.181818181818183	30.454545454545457	31.439393939393938	61.89393939393939	38.10606060606061	65.45454545454545	58.86363636363636	61.36363636363637	62.15909090909091	60.78431372549019	-0.01591187270501836	0.04572564612326044	1.1006360090083664	0.5176470588235295	0.5037037037037037	56.436302867579215	58.02959185143566	True
EGFR	Oncogene	3633	18.88246628131021	19.130195430773465	30.690889072391965	31.29644921552436	61.98733828791633	38.01266171208367	63.418662262592896	58.876961189099916	63.66639141205616	61.14781172584641	62.54448398576512	-0.009769094138543518	-0.0065170166545981175	0.9488064264265267	0.5022727272727273	0.5175097276264592	56.73217948604146	57.19079445635925	True
ERBB2	Oncogene	3768	19.347133757961785	17.569002123142248	31.369426751592357	31.71443736730361	63.083864118895974	36.916135881104026	61.066878980891715	62.818471337579616	65.36624203821655	61.94267515923566	65.09274873524453	-0.005469078670593185	0.04816678648454349	1.0913501041242504	0.5402298850574713	0.5066991473812423	56.21938840770465	55.80749138007834	True
PIK3CA	Oncogene	3207	24.446523230433424	25.97443093233552	24.976613657623947	24.60243217960711	49.57904583723106	50.42095416276894	51.356407857811035	51.075771749298404	46.30495790458372	51.21608980355472	46.0446247464503	0.007547169811320755	-0.030303030303030304	0.9949034890407447	0.48606271777003485	0.49696969696969695	59.784254813771454	60.09973970128141	False
ABL1	Oncogene	3513	21.178479931682322	19.95445488186735	30.00284656988329	28.86421861656704	58.86706518645033	41.13293481354967	58.838599487617415	59.86336464560205	57.899231426131514	59.35098206660973	57.039055404178015	0.019342359767891684	0.02975778546712803	1.0422754026755956	0.49290060851926976	0.5073746312684366	59.810394597790264	59.44320992525708	True
RET	Oncogene	3345	18.236173393124066	19.701046337817637	31.59940209267564	30.463378176382662	62.062780269058294	37.937219730941706	59.19282511210763	63.67713004484305	63.318385650224215	61.43497757847534	63.58381502890174	0.018304431599229287	-0.038613081166272656	0.9692401544741077	0.4792176039119804	0.49291784702549574	56.56220047615378	56.649217949903175	True
KIT	Oncogene	2922	23.887748117727583	23.613963039014372	25.39356605065024	27.104722792607806	52.498288843258045	47.501711156741955	52.56673511293635	51.84804928131417	53.08008213552361	52.20739219712526	52.80269058295964	-0.03259452411994785	0.005763688760806916	0.9848383902791477	0.49452954048140046	0.47775628626692457	59.50781935682151	60.346359980235356	True
MET	Oncogene	4152	21.363198458574182	21.86897880539499	27.721579961464354	29.046242774566473	56.76782273603082	43.23217726396918	55.92485549132948	56.936416184971094	57.442196531791915	56.43063583815029	57.12062256809338	-0.02333474756045821	-0.0116991643454039	1.026203389820872	0.47877758913412566	0.48930817610062893	58.07142976144371	59.418273443024646	True
ALK	Oncogene	4863	21.982315443142095	22.887106724244294	27.678387826444585	27.45219000616903	55.13057783261361	44.86942216738639	56.32325724861197	54.53423812461443	54.53423812461443	55.4287476866132	54.13633355393779	0.004102946661693398	-0.02016498625114574	0.9555248023573061	0.4816824966078697	0.49434389140271495	59.90900548712571	60.147126651712625	True
NRAS	Oncogene	570	27.192982456140353	24.912280701754387	22.105263157894736	25.789473684210527	47.89473684210526	52.10526315789474	43.684210526315795	48.421052631578945	51.578947368421055	46.05263157894737	50.0	-0.07692307692307693	0.04377104377104377	0.9865055738589685	0.45652173913043476	0.4897959183673469	59.524994950958444	60.5	False
HRAS	Oncogene	570	19.298245614035086	15.087719298245613	32.631578947368425	32.98245614035088	65.6140350877193	34.3859649122807	61.578947368421055	66.3157894736842	68.94736842105263	63.94736842105263	67.95580110497238	-0.0053475935828877	0.12244897959183673	1.0124144635979508	0.5423728813559322	0.5648854961832062	47.407415546567584	54.054078099731925	True
